Symbol,Stock_Name,LOT_SIZE
IRFC,IRFCIndian Railway Finance Corporation,3525
ITC,ITCITC Ltd,1600
JINDALSTEL,JINDALSTELJindal Steel & Power Ltd,625
JIOFIN,JIOFINJio Financial Services Limited,1650
JSL,JSLJindal Stainless Limited,775
JSWENERGY,JSWENERGYJSW Energy Limited,750
JSWSTEEL,JSWSTEELJSW Steel Limited,675
JUBLFOOD,JUBLFOODJubilant Foodworks Limited,1250
KALYANKJIL,KALYANKJILKalyan Jewellers India Limited,775
KEI,KEIKEI Industries Ltd.,150
KOTAKBANK,KOTAKBANKKotak Mahindra Bank Ltd.,400
KPITTECH,KPITTECHKPIT Technologies Ltd,400
LAURUSLABS,LAURUSLABSLaurus Labs Limited,1700
LICHSGFIN,LICHSGFINLic Housing Finance Ltd.,1000
LICI,LICILIFE INSURANCE CORPORATION OF INDIA,575
LODHA,LODHAMacrotech Developers Limited,450
LT,LTLarsen & Toubro Limited,150
LTF,LTFL&T Finance Limited,4462
LTIM,LTIMLTIMindtree Limited,150
LUPIN,LUPINLupin Ltd,425
M&M,M&MMahindra & Mahindra Ltd.,175
M&MFIN,M&MFINMahindra & Mahindra Financial Services Limited,2000
MANAPPURAM,MANAPPURAMManappuram Finance Limited,3000
MARICO,MARICOMarico Limited,1200
MARUTI,MARUTIMaruti Suzuki India Ltd.,50
MAXHEALTH,MAXHEALTHMax Healthcare Institute Limited,525
MCX,MCXMulti Commodity Exchange of India Ltd,100
MFSL,MFSLMax Financial Services Limited,800
MGL,MGLMahanagar Gas Limited,400
MIDCPNIFTY,MIDCPNIFTYNifty Midcap Select,120
MOTHERSON,MOTHERSONSamvardhana Motherson International Limited,3550
MPHASIS,MPHASISMphasis Limited,275
MRF,MRFM.R.F. Ltd.,5
MUTHOOTFIN,MUTHOOTFINMUTHOOT FINANCE LIMITED,275
NATIONALUM,NATIONALUMNational Aluminium Co. Ltd.,3750
NAUKRI,NAUKRIInfo Edge(India) Ltd.,75
NBCC,NBCCNBCC (India) Limited,5800
NCC,NCCNCC Limited,1775
NESTLEIND,NESTLEINDNestle India Ltd.,200
NHPC,NHPCNHPC Limited,6400
NIFTY,NIFTYNifty 50,75
NMDC,NMDCNMDC Ltd,13500
NTPC,NTPCNTPC Limited,1500
NYKAA,NYKAAFSN E-Commerce Ventures Limited,2950
OBEROIRLTY,OBEROIRLTYOBEROI REALTY LIMITED,350
OFSS,OFSSOracle Financial Services Software Limited,50
OIL,OILOil India Limited,1075
ONGC,ONGCOil And Natural Gas Corporation Ltd,1925
PAGEIND,PAGEINDPage Industries Ltd.,15
PATANJALI,PATANJALIPatanjali Foods Limited,300
PAYTM,PAYTMOne 97 Communications Limited,650
PEL,PELPiramal Enterprises Limited,750
PERSISTENT,PERSISTENTPersistent Systems Limited,100
PETRONET,PETRONETPETRONET LNG LTD.,1500
PFC,PFCPower Finance Corporation Ltd,1300
PHOENIXLTD,PHOENIXLTDThe Phoenix Mills Ltd.,350
PIDILITIND,PIDILITINDPidilite Industries Ltd.,250
PIIND,PIINDPI Industries Limited,125
PNB,PNBPunjab National Bank,8000
PNBHOUSING,PNBHOUSINGPNB Housing Finance Limited,650
POLICYBZR,POLICYBZRPB Fintech Limited,325
POLYCAB,POLYCABPolycab India Limited,125
POONAWALLA,POONAWALLAPOONAWALLA FINCORP LIMITED,1450
POWERGRID,POWERGRIDPOWER GRID CORPORATION OF INDIA LIMITED,1800
PRESTIGE,PRESTIGEPrestige Estates Projects Limited,325
RAMCOCEM,RAMCOCEMThe Ramco Cements Limited,850
RBLBANK,RBLBANKRBL Bank Limited,2500
RECLTD,RECLTDREC LIMITED,1000
RELIANCE,RELIANCEReliance Industries Ltd,500
SAIL,SAILSteel Authority of India Ltd.,4000
SBICARD,SBICARDSBI CARDS AND PAYMENT SERVICES LIMITED,800
SBILIFE,SBILIFESBI Life Insurance Company Limited,375
SBIN,SBINState Bank Of India,750
SHREECEM,SHREECEMShree Cements Ltd.,25
SHRIRAMFIN,SHRIRAMFINShriram Finance Limited,750
SIEMENS,SIEMENSSiemens Ltd.,75
